,weight,total_gross_income,pitax,table_row
15502,10.0,0.0,0.0,2
15504,10.0,0.0,0.0,2
15508,10.0,0.0,0.0,2
6276,10.0,0.0,0.0,2
6268,10.0,0.0,0.0,2
15540,10.0,0.0,0.0,2
15564,10.0,0.0,0.0,2
6250,10.0,0.0,0.0,2
15582,10.0,0.0,0.0,2
2517,10.0,0.0,0.0,2
15583,10.0,0.0,0.0,2
15586,10.0,0.0,0.0,2
6243,10.0,0.0,0.0,2
15587,10.0,0.0,0.0,2
2429,10.0,0.0,0.0,2
15095,10.0,0.0,0.0,2
15079,10.0,0.0,0.0,2
15053,10.0,0.0,0.0,2
14430,10.0,0.0,0.0,2
6632,10.0,0.0,0.0,2
14443,10.0,0.0,0.0,2
6627,10.0,0.0,0.0,2
14444,10.0,0.0,0.0,2
14471,10.0,0.0,0.0,2
14492,10.0,0.0,0.0,2
6607,10.0,0.0,0.0,2
14418,10.0,0.0,0.0,2
14550,10.0,0.0,0.0,2
14565,10.0,0.0,0.0,2
14571,10.0,0.0,0.0,2
14573,10.0,0.0,0.0,2
14615,10.0,0.0,0.0,2
6581,10.0,0.0,0.0,2
6578,10.0,0.0,0.0,2
6577,10.0,0.0,0.0,2
14625,10.0,0.0,0.0,2
14551,10.0,0.0,0.0,2
6645,10.0,0.0,0.0,2
6649,10.0,0.0,0.0,2
14372,10.0,0.0,0.0,2
14246,10.0,0.0,0.0,2
6691,10.0,0.0,0.0,2
14258,10.0,0.0,0.0,2
6686,10.0,0.0,0.0,2
14268,10.0,0.0,0.0,2
14301,10.0,0.0,0.0,2
14305,10.0,0.0,0.0,2
2318,10.0,0.0,0.0,2
6679,10.0,0.0,0.0,2
2320,10.0,0.0,0.0,2
14319,10.0,0.0,0.0,2
14327,10.0,0.0,0.0,2
14340,10.0,0.0,0.0,2
14344,10.0,0.0,0.0,2
14349,10.0,0.0,0.0,2
14366,10.0,0.0,0.0,2
14367,10.0,0.0,0.0,2
14368,10.0,0.0,0.0,2
14371,10.0,0.0,0.0,2
14633,10.0,0.0,0.0,2
14236,10.0,0.0,0.0,2
2367,10.0,0.0,0.0,2
14656,10.0,0.0,0.0,2
14832,10.0,0.0,0.0,2
14873,10.0,0.0,0.0,2
14910,10.0,0.0,0.0,2
14921,10.0,0.0,0.0,2
14932,10.0,0.0,0.0,2
14958,10.0,0.0,0.0,2
6464,10.0,0.0,0.0,2
14970,10.0,0.0,0.0,2
14829,10.0,0.0,0.0,2
14985,10.0,0.0,0.0,2
14987,10.0,0.0,0.0,2
15008,10.0,0.0,0.0,2
15009,10.0,0.0,0.0,2
15024,10.0,0.0,0.0,2
15034,10.0,0.0,0.0,2
15042,10.0,0.0,0.0,2
