,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
86,"2,330.0000",789.0000,"6,006.0000","2,330.0000",876.0000,"6,567.0000","2,330.0000",872.0000,"6,538.0000","2,330.0000",977.0000,"7,215.0000","2,330.0000","1,035.0000","7,583.0000","2,330.0000","1,450.0000","7,583.0000","2,330.0000","1,586.0000","8,144.0000","2,330.0000","1,671.0000","8,495.0000","2,330.0000","1,798.0000","9,022.0000","2,330.0000","1,926.0000","9,549.0000","2,330.0000","2,070.0000","10,140.0000",0.1365,0.1912
87,"2,330.0000",852.0000,"6,355.0000","2,330.0000",946.0000,"6,948.0000","2,330.0000",941.0000,"6,918.0000","2,330.0000","1,055.0000","7,633.0000","2,330.0000","1,117.0000","8,023.0000","2,330.0000","1,588.0000","8,023.0000","2,330.0000","1,734.0000","8,617.0000","2,330.0000","1,826.0000","8,988.0000","2,330.0000","1,964.0000","9,545.0000","2,330.0000","2,102.0000","10,103.0000","2,330.0000","2,258.0000","10,729.0000",0.1392,0.1979
88,"2,330.0000",882.0000,"6,713.0000","2,330.0000",977.0000,"7,339.0000","2,330.0000",972.0000,"7,308.0000","2,330.0000","1,087.0000","8,064.0000","2,330.0000","1,150.0000","8,475.0000","2,330.0000","1,603.0000","8,475.0000","2,330.0000","1,748.0000","9,103.0000","2,330.0000","1,839.0000","9,495.0000","2,330.0000","1,974.0000","10,084.0000","2,330.0000","2,111.0000","10,672.0000","2,330.0000","2,264.0000","11,334.0000",0.1357,0.1891
89,"2,330.0000",944.0000,"7,177.0000","2,330.0000","1,044.0000","7,846.0000","2,330.0000","1,039.0000","7,812.0000","2,330.0000","1,161.0000","8,620.0000","2,330.0000","1,228.0000","9,060.0000","2,330.0000","1,710.0000","9,060.0000","2,330.0000","1,864.0000","9,731.0000","2,330.0000","1,960.0000","10,150.0000","2,330.0000","2,104.0000","10,780.0000","2,330.0000","2,249.0000","11,409.0000","2,330.0000","2,412.0000","12,116.0000",0.1355,0.1887
90,"2,340.0000","1,042.0000","7,795.0000","2,340.0000","1,152.0000","8,522.0000","2,340.0000","1,147.0000","8,485.0000","2,340.0000","1,280.0000","9,363.0000","2,340.0000","1,352.0000","9,840.0000","2,340.0000","1,905.0000","9,840.0000","2,340.0000","2,073.0000","10,569.0000","2,340.0000","2,178.0000","11,025.0000","2,340.0000","2,336.0000","11,708.0000","2,340.0000","2,494.0000","12,392.0000","2,340.0000","2,672.0000","13,160.0000",0.1374,0.1936
91,"2,330.0000","1,123.0000","8,369.0000","2,330.0000","1,240.0000","9,150.0000","2,330.0000","1,234.0000","9,110.0000","2,330.0000","1,376.0000","10,053.0000","2,330.0000","1,453.0000","10,565.0000","2,330.0000","2,048.0000","10,565.0000","2,330.0000","2,226.0000","11,348.0000","2,330.0000","2,337.0000","11,837.0000","2,330.0000","2,505.0000","12,571.0000","2,330.0000","2,673.0000","13,305.0000","2,330.0000","2,862.0000","14,129.0000",0.1375,0.1938
92,"2,330.0000","1,177.0000","9,226.0000","2,330.0000","1,297.0000","10,086.0000","2,330.0000","1,291.0000","10,043.0000","2,330.0000","1,437.0000","11,082.0000","2,330.0000","1,516.0000","11,647.0000","2,330.0000","2,042.0000","11,647.0000","2,330.0000","2,215.0000","12,510.0000","2,330.0000","2,323.0000","13,049.0000","2,330.0000","2,486.0000","13,858.0000","2,330.0000","2,650.0000","14,666.0000","2,330.0000","2,834.0000","15,575.0000",0.1302,0.1753
93,"2,330.0000","1,310.0000","10,514.0000","2,330.0000","1,443.0000","11,495.0000","2,330.0000","1,436.0000","11,445.0000","2,330.0000","1,596.0000","12,629.0000","2,330.0000","1,684.0000","13,273.0000","2,330.0000","2,218.0000","13,273.0000","2,330.0000","2,404.0000","14,257.0000","2,330.0000","2,521.0000","14,871.0000","2,330.0000","2,697.0000","15,793.0000","2,330.0000","2,873.0000","16,715.0000","2,330.0000","3,071.0000","17,751.0000",0.1269,0.1671
94,"2,330.0000","1,513.0000","12,347.0000","2,330.0000","1,663.0000","13,499.0000","2,330.0000","1,656.0000","13,440.0000","2,330.0000","1,837.0000","14,831.0000","2,330.0000","1,936.0000","15,587.0000","2,330.0000","2,502.0000","15,587.0000","2,330.0000","2,706.0000","16,742.0000","2,330.0000","2,835.0000","17,464.0000","2,330.0000","3,028.0000","18,546.0000","2,330.0000","3,221.0000","19,628.0000","2,330.0000","3,439.0000","20,845.0000",0.1242,0.1605
95,"2,330.0000","1,817.0000","14,668.0000","2,330.0000","1,996.0000","16,036.0000","2,330.0000","1,987.0000","15,967.0000","2,330.0000","2,204.0000","17,619.0000","2,330.0000","2,322.0000","18,517.0000","2,330.0000","3,027.0000","18,517.0000","2,330.0000","3,272.0000","19,889.0000","2,330.0000","3,425.0000","20,746.0000","2,330.0000","3,656.0000","22,032.0000","2,330.0000","3,888.0000","23,318.0000","2,330.0000","4,148.0000","24,763.0000",0.1254,0.1635
96,"2,330.0000","2,209.0000","17,868.0000","2,330.0000","2,425.0000","19,534.0000","2,330.0000","2,414.0000","19,450.0000","2,330.0000","2,674.0000","21,462.0000","2,330.0000","2,816.0000","22,557.0000","2,330.0000","3,656.0000","22,557.0000","2,330.0000","3,948.0000","24,228.0000","2,330.0000","4,131.0000","25,272.0000","2,330.0000","4,405.0000","26,838.0000","2,330.0000","4,680.0000","28,405.0000","2,330.0000","4,989.0000","30,165.0000",0.1248,0.1621
97,"2,330.0000","2,844.0000","23,326.0000","2,330.0000","3,119.0000","25,502.0000","2,330.0000","3,105.0000","25,392.0000","2,330.0000","3,437.0000","28,019.0000","2,330.0000","3,618.0000","29,447.0000","2,330.0000","4,628.0000","29,447.0000","2,330.0000","4,993.0000","31,629.0000","2,330.0000","5,220.0000","32,992.0000","2,330.0000","5,563.0000","35,037.0000","2,330.0000","5,906.0000","37,082.0000","2,330.0000","6,294.0000","39,380.0000",0.1229,0.1572
